날짜,관광지명,관광객수
2010.06,도립미술관,0
2010.06,만장굴관광지,46364
2010.06,목석원,0
2010.06,민속자연사박물관,79297
2010.06,비자림,14927
2010.06,산굼부리,48296
2010.06,삼성혈,7737
2010.06,삼양선사유적지,0
2010.06,생각하는 정원,13309
2010.06,절물자연휴양림,51150
2010.06,제주도립 김창열미술관,0
2010.06,제주돌문화공원,17094
2010.06,제주러브랜드,40977
2010.06,제주목관아지,11298
2010.06,제주별빛누리공원,902
2010.06,제주항일기념관,5152
2010.06,한라산국립공원,93858
2010.06,한림공원,78155
2010.06,항몽 유적지,14015
2010.06,해녀 박물관,17933
2010.06,감귤박물관,6617
2010.06,기당미술관,1542
